n.id,n.firstname,n.lastname,n.birthyear,n.deathyear,n.birthplace,n.deathplace,n.sex,n.numCities,n.numCountries,n.numVenues,n.country,n.collective,n.ulan,n.wikidata
"32,""""""Albert"""""",""""""Bloch"""""",1882,1961,""""""St. Louis"""""",""""""Lawrence, Kansas"""""",""""""M"""""",3,2,4,""""""US"""""",null,""""""500023299"""""",""""""Q321462"""""""
"33,""""""Umberto"""""",""""""Boccioni"""""",1882,1916,""""""Reggio Calabria"""""",""""""Verona"""""",""""""M"""""",9,6,11,""""""IT"""""",null,""""""500012624"""""",""""""Q152797"""""""
"34,""""""Arnold"""""",""""""Böcklin"""""",1827,1901,""""""Basel"""""",""""""San Domenico di Fièsole"""""",""""""M"""""",4,2,5,""""""CH"""""",null,""""""500016466"""""",""""""Q123071"""""""
"35,""""""Oleksandr"""""",""""""Bohomazov"""""",1880,1930,""""""Yampol"""""",""""""Kiev"""""",""""""M"""""",null,null,null,""""""UA"""""",null,""""""500023043"""""",""""""Q1984317"""""""
"36,""""""David"""""",""""""Bomberg"""""",1890,1957,""""""Birmingham"""""",""""""London"""""",""""""M"""""",2,1,6,""""""GB"""""",null,""""""500014864"""""",""""""Q734355"""""""
"37,""""""Pierre"""""",""""""Bonnard"""""",1867,1947,""""""Fontenay-aux-Roses"""""",""""""Le Cannet"""""",""""""M"""""",14,11,19,""""""FR"""""",null,""""""500115555"""""",""""""Q26408"""""""
"38,""""""Viktor"""""",""""""Borisov-Musatov"""""",1870,1905,""""""Saratov"""""",""""""Tarusa"""""",""""""M"""""",5,4,2,""""""RU"""""",null,""""""500009209"""""",""""""Q1095289"""""""
"39,""""""Emile-Antoine"""""",""""""Bourdelle"""""",1861,1929,""""""Montauban"""""",""""""Le Vésinet"""""",""""""M"""""",1,1,1,""""""FR"""""",null,""""""500028923"""""",""""""Q314350"""""""
"40,""""""Constantin"""""",""""""Brancusi"""""",1876,1957,""""""Hobița"""""",""""""Paris"""""",""""""M"""""",null,null,null,""""""RO"""""",null,""""""500016157"""""",""""""Q153048"""""""
"41,""""""Georges"""""",""""""Braque"""""",1882,1963,""""""Argenteuil"""""",""""""Paris"""""",""""""M"""""",11,8,11,""""""FR"""""",null,""""""500025200"""""",""""""Q153793"""""""
"42,""""""Horace"""""",""""""Brodzky"""""",1885,1969,""""""Melbourne"""""",""""""London"""""",""""""M"""""",1,1,3,""""""AU"""""",null,""""""500025308"""""",""""""Q1627848"""""""
"43,""""""Petr Ignat'evič"""""",""""""Bromirskij"""""",1884,1919,null,null,""""""M"""""",null,null,null,""""""RU"""""",null,""""""500102239"""""",null"
"44,""""""Patrick Henry"""""",""""""Bruce"""""",1881,1936,""""""Campbell"""""",""""""New York"""""",""""""M"""""",3,3,3,""""""US"""""",null,""""""500007545"""""",""""""Q1392667"""""""
"45,""""""Hans"""""",""""""Brühlmann"""""",1878,1911,""""""Amriswill"""""",""""""Stuttgart"""""",""""""M"""""",2,2,2,""""""CH"""""",null,""""""500005950"""""",""""""Q1578870"""""""
"46,""""""Jean"""""",""""""Brusselmans"""""",1884,1953,""""""Brussels"""""",""""""Dilbeek"""""",""""""M"""""",null,null,null,""""""BE"""""",null,""""""500028851"""""",""""""Q2909779"""""""
"47,""""""Max"""""",""""""Buri"""""",1868,1915,""""""Burgdorf"""""",""""""Interlaken"""""",""""""M"""""",6,4,6,""""""CH"""""",null,""""""500006223"""""",""""""Q177330"""""""
"48,""""""David"""""",""""""Burlyuk"""""",1882,1967,""""""Kharkov"""""",""""""Southampton"""""",""""""M"""""",6,4,4,""""""UA"""""",null,""""""500026962"""""",""""""Q610532"""""""
"49,""""""Vladimir"""""",""""""Burlyuk"""""",1887,1917,""""""Chernyanka"""""",""""""Greece"""""",""""""M"""""",6,5,3,""""""UA"""""",null,""""""500120075"""""",""""""Q1364377"""""""
"50,""""""Edward"""""",""""""Burne-Jones"""""",1833,1898,""""""Birmingham"""""",""""""London"""""",""""""M"""""",null,null,null,""""""GB"""""",null,""""""500001381"""""",""""""Q216406"""""""
"51,""""""Charles"""""",""""""Camoin"""""",1879,1965,""""""Marseilles"""""",""""""Paris"""""",""""""M"""""",3,3,6,""""""FR"""""",null,""""""500009979"""""",""""""Q968285"""""""
"52,""""""Heinrich"""""",""""""Campendonk"""""",1889,1957,""""""Krefeld"""""",""""""Amsterdam"""""",""""""M"""""",5,2,5,""""""DE"""""",null,""""""500009451"""""",""""""Q213685"""""""
"53,""""""Josef"""""",""""""Čapek"""""",1887,1945,""""""Hronov"""""",""""""Lager Bergen Belsen"""""",""""""M"""""",null,null,null,""""""CZ"""""",null,""""""500115342"""""",""""""Q454568"""""""
"54,""""""Arthur Beecher"""""",""""""Carles"""""",1882,1952,""""""Philadelphia"""""",""""""Philadelphia"""""",""""""M"""""",null,null,null,""""""US"""""",null,""""""500014441"""""",""""""Q4797967"""""""
"55,""""""Carlo"""""",""""""Carrà"""""",1881,1966,""""""Alessandria"""""",""""""Milan"""""",""""""M"""""",9,6,10,""""""IT"""""",null,""""""500008934"""""",""""""Q168496"""""""
"56,""""""Eugène"""""",""""""Carrière"""""",1849,1906,""""""Gournay-sur-Marne"""""",""""""Paris"""""",""""""M"""""",4,4,9,""""""FR"""""",null,""""""500007012"""""",""""""Q461464"""""""
"57,""""""Felice"""""",""""""Casorati"""""",1883,1963,""""""Novara"""""",""""""Turin"""""",""""""M"""""",null,null,null,""""""IT"""""",null,""""""500021131"""""",""""""Q574616"""""""
"58,""""""Paul"""""",""""""Cézanne"""""",1839,1906,""""""Aix-en-Provence"""""",""""""Aix-en-Provence"""""",""""""M"""""",8,6,19,""""""FR"""""",null,""""""500004793"""""",""""""Q35548"""""""
"59,""""""Auguste-Elysée"""""",""""""Chabaud"""""",1882,1955,""""""Nîmes"""""",""""""Graveson"""""",""""""M"""""",4,3,6,""""""FR"""""",null,""""""500020287"""""",""""""Q766261"""""""
"60,""""""Marc"""""",""""""Chagall"""""",1887,1985,""""""Vitebsk"""""",""""""Saint-Paul"""""",""""""M"""""",1,1,1,""""""BY"""""",null,""""""500115354"""""",""""""Q93284"""""""
"61,""""""Serge"""""",""""""Charchoune"""""",1888,1975,""""""Buguruslan"""""",""""""Villeneuve-Saint-Georges"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500007384"""""",null"
"62,""""""Vasily"""""",""""""Chekrygin"""""",1897,1922,""""""Zhizdra"""""",""""""Mamontovka (Moscow region)"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500120986"""""",""""""Q4508331"""""""
"63,""""""M. K."""""",""""""Čiurlionis"""""",1875,1911,""""""Lithuania"""""",""""""Marki"""""",""""""M"""""",null,null,null,""""""LT"""""",null,""""""500121264"""""",""""""Q297137"""""""
"64,""""""Charles"""""",""""""Conder"""""",1868,1909,""""""London"""""",""""""Virginia Water"""""",""""""M"""""",1,1,4,""""""GB"""""",null,""""""500001048"""""",""""""Q1284465"""""""
"65,""""""Lovis"""""",""""""Corinth"""""",1858,1925,""""""Gvardeysk"""""",""""""Zandvoort"""""",""""""M"""""",7,4,7,""""""DE"""""",null,""""""500115384"""""",""""""Q157610"""""""
"66,""""""Gustave"""""",""""""Courbet"""""",1819,1877,""""""Ornans"""""",""""""La Tour-de-Peilz"""""",""""""M"""""",6,5,14,""""""FR"""""",null,""""""500010927"""""",""""""Q34618"""""""
"67,""""""Walter"""""",""""""Crane"""""",1845,1915,""""""Liverpool"""""",""""""Horsham"""""",""""""M"""""",3,3,3,""""""GB"""""",null,""""""500014587"""""",""""""Q660917"""""""
"68,""""""Henri Edmond"""""",""""""Cross"""""",1856,1910,""""""Douai"""""",""""""Saint-Clair, Var"""""",""""""M"""""",4,4,7,""""""FR"""""",null,""""""500014010"""""",""""""Q555224"""""""
"69,""""""Carl Otto"""""",""""""Czeschka"""""",1878,1960,""""""Vienna"""""",""""""Hamburg"""""",""""""M"""""",null,null,null,""""""AT"""""",null,""""""500007692"""""",""""""Q1039975"""""""
"70,""""""Dezső"""""",""""""Czigány"""""",1883,1937,""""""Budapest"""""",""""""Budapest"""""",""""""M"""""",1,1,2,""""""HU"""""",null,""""""500091095"""""",""""""Q683135"""""""
"71,""""""Béla"""""",""""""Czóbel"""""",1883,1975,""""""Budapest"""""",""""""Budapest"""""",""""""M"""""",1,1,2,""""""HU"""""",null,""""""500026459"""""",""""""Q900177"""""""
"72,""""""Hippolyte"""""",""""""Daeye"""""",1873,1952,""""""Ghent"""""",""""""Ghent"""""",""""""M"""""",1,1,1,""""""BE"""""",null,""""""500041380"""""",""""""Q1489046"""""""
"73,""""""Arthur Bowen"""""",""""""Davies"""""",1862,1928,""""""Utica, New York"""""",""""""Florence"""""",""""""M"""""",3,2,3,""""""US"""""",null,""""""500013464"""""",""""""Q708502"""""""
"74,""""""Stuart"""""",""""""Davis"""""",1892,1964,""""""Philadelphia"""""",""""""New York"""""",""""""M"""""",null,null,null,""""""US"""""",null,""""""500115507"""""",""""""Q704588"""""""
"75,""""""Per"""""",""""""Deberitz"""""",1880,1945,""""""Drøbak"""""",""""""Christiania (Oslo)"""""",""""""M"""""",null,null,null,""""""NO"""""",null,""""""500071901"""""",""""""Q5619061"""""""
"76,""""""Giorgio de"""""",""""""Chirico"""""",1888,1978,""""""Vólos"""""",""""""Rome"""""",""""""M"""""",1,1,1,""""""IT"""""",null,""""""500032635"""""",""""""Q156622"""""""
"77,""""""Edgar"""""",""""""Degas"""""",1834,1917,""""""Paris"""""",""""""Paris"""""",""""""M"""""",7,6,14,""""""FR"""""",null,""""""500115194"""""",""""""Q46373"""""""
"78,""""""Henry de"""""",""""""Groux"""""",1867,1930,""""""Brussels"""""",""""""Marseilles"""""",""""""M"""""",2,2,3,""""""BE"""""",null,""""""500000376"""""",""""""Q450114"""""""
"79,""""""Robert"""""",""""""Delaunay"""""",1885,1941,""""""Paris"""""",""""""Montpellier"""""",""""""M"""""",4,4,6,""""""FR"""""",null,""""""500023463"""""",""""""Q33978"""""""
"80,""""""Sonia"""""",""""""Delaunay"""""",1885,1979,""""""Gradizhsk"""""",""""""Paris"""""",""""""F"""""",1,1,1,""""""FR"""""",null,""""""500115510"""""",""""""Q232972"""""""
"81,""""""Jean"""""",""""""Delville"""""",1867,1953,""""""Louvain"""""",""""""Forest"""""",""""""M"""""",2,2,2,""""""BE"""""",null,""""""500027312"""""",""""""Q1395469"""""""
"82,""""""Cristophe Karel Henri de"""""",""""""Nerée tot Babberich"""""",1880,1909,""""""Zevenaar"""""",""""""Todtmoos"""""",""""""M"""""",null,null,null,""""""NL"""""",null,""""""500002505"""""",""""""Q2938145"""""""
"83,""""""Maurice"""""",""""""Denis"""""",1870,1943,""""""Granville, Manche"""""",""""""Saint-Germain-en-Laye"""""",""""""M"""""",12,11,16,""""""FR"""""",null,""""""500032673"""""",""""""Q440369"""""""
"84,""""""André"""""",""""""Derain"""""",1880,1954,""""""Chatou"""""",""""""Garches"""""",""""""M"""""",6,4,10,""""""FR"""""",null,""""""500004535"""""",""""""Q156272"""""""
"85,""""""Gustave de"""""",""""""Smet"""""",1877,1943,""""""Ghent"""""",""""""Deurle"""""",""""""M"""""",1,1,1,""""""BE"""""",null,""""""500013123"""""",""""""Q981212"""""""
"86,""""""Charles"""""",""""""Despiau"""""",1874,1946,""""""Mont-de-Marsan"""""",""""""Paris"""""",""""""M"""""",null,null,null,""""""FR"""""",null,""""""500115511"""""",""""""Q82291"""""""
"87,""""""Georges-Olivier"""""",""""""Desvallières"""""",1861,1950,""""""Paris"""""",""""""Paris"""""",""""""M"""""",4,3,8,""""""FR"""""",null,""""""500004489"""""",""""""Q3101526"""""""
"88,""""""Maurice de"""""",""""""Vlaminck"""""",1876,1958,""""""Paris"""""",""""""Rueil-la-Gadelière"""""",""""""M"""""",10,7,9,""""""FR"""""",null,""""""500008582"""""",""""""Q241098"""""""
"89,""""""Karl Edvard"""""",""""""Diriks"""""",1855,1930,""""""Christiania (Oslo)"""""",""""""Christiania (Oslo)"""""",""""""M"""""",2,2,4,""""""NO"""""",null,""""""500047891"""""",""""""Q3193383"""""""
